,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
PAY_6,0.04068201850324549,0.020545871645737734,0.04038267258567596,0.0319285692715221,0.0854153759667361,0.03638844827362153,0.04554426699315972,0.036769381256702705,0.03428552345692315,0.03528068573021492,0.0,0.03829443368759189,0.03428114236355495,0.028204812684131664,0.02648628870188463,0.027745600052504038,0.025477440139732965,0.021806071556138784,0.02224941352277654,0.02254490901462536,0.023101233825728262,0.027247549953751005,0.025694322773117118,0.02699886428484677
BILL_AMT1,0.0005690139826215468,0.023054436343891926,0.03416918383106027,0.028806417020777242,0.005137911976421883,0.05393770141999632,0.034944452240596724,0.044446315630676025,0.03731197041451351,0.03266828294868218,0.03829443368759189,0.0,0.008025974668121605,0.0010010752097735498,0.00638868293512318,0.004419915860496615,0.00021971618467342413,0.02248210161435038,0.013314439116415167,0.015945127789490865,0.016969189326737855,0.02132762994225168,0.012279543784528113,0.022130716745270673
BILL_AMT2,0.010146615633040756,0.015754744961684053,0.027640021872886278,0.018926644219096178,0.005059859579086057,0.04862519994291992,0.029834604099289064,0.0343222382534587,0.027386301031885663,0.028668801324585935,0.03428114236355495,0.008025974668121605,0.0,0.006757814730419143,0.00683081382930939,0.008185999594243043,0.006963838591928395,0.0040923646906689815,0.011912419998736268,0.004600765215300395,0.03992559604690227,0.011558519510352694,0.01378396957949346,0.015090571207076797
BILL_AMT3,0.017867376855583927,0.010233715781393093,0.02210856445626852,0.018178143672983538,0.011843440530386329,0.03941615402423604,0.01990615796734352,0.02437692182676887,0.023371146200528825,0.023091521373669988,0.028204812684131664,0.0010010752097735498,0.006757814730419143,0.0,0.0036934231755142433,0.0016158248804898356,0.005711860304457805,0.01887549321120463,0.06506579212505514,0.0025596319379841415,0.038078622081200164,0.029996545821853404,0.018076563685772373,0.017480291034428053
BILL_AMT4,0.015750625842373855,0.010905207813091344,0.025032222324667175,0.020918782908567413,0.0045761730116722354,0.03393351803117961,0.024052079179907704,0.024638553318048206,0.03138556051603647,0.018595273126061018,0.02648628870188463,0.00638868293512318,0.00683081382930939,0.0036934231755142433,0.0,0.002603868434098322,0.0011657626648541308,0.019066928868359034,0.009868095273655175,0.007504937855545291,0.05219927905645538,0.02018662568493501,0.0132964930580457,0.021611390576189216
BILL_AMT5,0.009456377008365435,0.01794436606263894,0.0311603969991312,0.029158299035439983,0.006856679254255593,0.03955049932678634,0.030851659498313477,0.027963371245669832,0.03440145582621923,0.020752264337254522,0.027745600052504038,0.004419915860496615,0.008185999594243043,0.0016158248804898356,0.002603868434098322,0.0,0.0014058734569467601,0.023124700029202083,0.0003934742390955259,0.007272688627690926,4.0974834125129256e-05,0.0059586970874349054,0.00657680684862505,0.022073108452756895
BILL_AMT6,0.013047802181585855,0.015358101748017994,0.029336159085077584,0.022636850269815434,0.005574870375251839,0.03826234680658591,0.02285036378069405,0.021510292218804183,0.028258558209816598,0.017778131336811942,0.025477440139732965,0.00021971618467342413,0.006963838591928395,0.005711860304457805,0.0011657626648541308,0.0014058734569467601,0.0,0.035877875023548444,0.007022529905141961,0.0034062331351416564,0.01085594316935079,0.019430073944406212,0.014727030300009103,0.015937899346687656
PAY_AMT1,0.0050100308585302455,0.002038245069255318,0.016485264513325215,0.01163941735604812,0.0018733382335067716,0.029141897702802733,0.01418858429978298,0.019631741088094068,0.015524348814953126,0.01084173749424,0.021806071556138784,0.02248210161435038,0.0040923646906689815,0.01887549321120463,0.019066928868359034,0.023124700029202083,0.035877875023548444,0.0,0.06833904077554398,0.04816446387174822,0.018707650766468187,0.00870121817439784,0.028357492711104104,0.00499149691482792
PAY_AMT2,0.010533638169117676,0.0013336788679048084,0.017003566370436096,0.011897975911415837,0.012556432958316988,0.029252313596787483,0.013188423877719124,0.019187016917351363,0.015264111868886654,0.011951622708236131,0.02224941352277654,0.013314439116415167,0.011912419998736268,0.06506579212505514,0.009868095273655175,0.0003934742390955259,0.007022529905141961,0.06833904077554398,0.0,0.05508733462416027,0.004961368926661769,0.038672654753482805,0.01414795833607807,0.0044350733748602655
PAY_AMT3,0.008885599380808351,0.0038117116646709803,0.01763208666380245,0.013229877659757139,0.0021565718443895543,0.02951077342329045,0.012336504845902763,0.019334468476681854,0.014450018333333148,0.01150660235089962,0.02254490901462536,0.015945127789490865,0.004600765215300395,0.0025596319379841415,0.007504937855545291,0.007272688627690926,0.0034062331351416564,0.04816446387174822,0.05508733462416027,0.0,0.004063465899119878,0.003030677167295104,0.013036176633306584,0.0037376403339794972
